what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344549355100
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344549358140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549362729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549389017
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344549393288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344549407371
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344549408428
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344549412296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549415810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549417286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549417334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549419349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549421739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549435268
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344549439885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344549450555
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344549452004
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344549455868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549460272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549495896
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344549497250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549513168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549521284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344549522352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344549535536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344549536128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344549536926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344549537544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344549538111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344549538743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1344549539333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344549549002
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344549549908
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344549552585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549555312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549586681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549590737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549705405
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344549708834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344549711849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344549718092
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344549721506
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344549724532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549727359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549800975
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344549803986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344549809725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549812996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549816244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344549845319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344549851367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549852845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549955709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344549961768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344550061831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344550076340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344601211885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344601217807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344604426525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344604438632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344604695610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344604699048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344605989519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344606001426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344606163343
