what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344539670611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344539671350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344539675516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344539679800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344539754021
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344539760944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344539762645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344539790948
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344539793989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344539797465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540400955
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344540403433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1344540405947
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344540407847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344540416686
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344540418082
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1344540421601
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344540430932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344540441276
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344540442585
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344540445792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540453234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540545738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540548663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540553712
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344540561223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344540564795
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344540566518
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1344540569068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540569357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540569409
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344540579623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540585785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540599801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540611117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540635151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540638007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540639473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540652896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540678977
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344540689461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344540694754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344540699129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344540706043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344540708843
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344540710574
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1344540712586
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344540733198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540734619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540753197
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344540772645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344540778892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344540779688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344540783344
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344540791901
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1344540793744
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344540797494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540798986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540814566
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344540831900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344540836067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344540838212
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344540839230
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1344540842682
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344540855139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540857556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540880404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344540892581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541036646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541054887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541060687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541066484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541083883
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344541086040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344541089375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344541091651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344541094392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344541098910
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344541099795
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344541102709
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344541111290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541112834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541337740
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344541340877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541368864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541372472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541375800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541376072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541376264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541376463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541377831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541378064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541378272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541378520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541379072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344541388678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344541394394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541431237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541443796
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344541446477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344541447752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1344541452728
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344541465288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541467171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541501040
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344541503086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1344541509379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344541519561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541522284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541522784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541522867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541522951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541523034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541523118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541523201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541523284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541523368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541523451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541523535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541523618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541523701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541523785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541523869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541524211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541524451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541524668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541525107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541525525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541533063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541535191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541554867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541556459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344541563124
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344541563963
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1344541567821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541569636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541593142
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344541596534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541602621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541620529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541637630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344541706390
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344541707092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541708738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541709235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541709318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541709401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541709485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541709568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541709652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541709735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541709819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541709902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541709986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344541710069
