what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344292683921
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1344292690212
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344292697921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344292744732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344292839737
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344292845230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344292847150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344294309074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344294533275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344294543309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344294777583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344295232123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344295247707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344295786568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1344295790979
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1344295794415
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344295850419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344295862087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344295882050
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.LogCatView",1344295910701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344295934143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344295959691
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1344295983302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296002049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296286244
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344296288708
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344296292212
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1344296300709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296302045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296310127
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.LogCatView",1344296311619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296321352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296379086
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344296382171
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1344296385385
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344296400024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296415266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296415323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296416212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296423417
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.LogCatView",1344296425660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296435300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296473878
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344296473883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1344296477088
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344296482530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296486386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296525389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296528601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296535818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296558033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296659942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296665038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296746796
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1344296750292
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344296754245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296758296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296771643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296781531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296789587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296801722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296820517
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344296826727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296840561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296869890
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344296871608
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1344296875070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296884285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296891041
activated,view,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms.views.LogCatView",1344296894977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296902055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344296919515
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344296923215
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344296923690
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344296923710
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344296932481
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344296994267
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344297017293
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344297022189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344297025492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344297153044
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344297164986
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344297165423
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1344297165449
